id,name,x,y
271,Node 272,260,74
272,Node 273,-24,152
273,Node 274,321,86
274,Node 275,376,8
275,Node 276,160,-15
276,Node 277,519,-64
277,Node 278,-309,-235
278,Node 279,-386,-241
279,Node 280,540,-49
280,Node 281,-236,-194
281,Node 282,-66,-52
282,Node 283,-512,145
283,Node 284,-10,144
284,Node 285,453,-65
285,Node 286,-55,207
286,Node 287,15,-18
287,Node 288,-171,-5
288,Node 289,372,-10
289,Node 290,277,51
290,Node 291,-195,78
291,Node 292,-238,-139
292,Node 293,111,208
293,Node 294,-268,121
294,Node 295,339,191
295,Node 296,318,-204
296,Node 297,320,118
297,Node 298,-222,-295
298,Node 299,455,-242
299,Node 300,347,-287
300,Node 301,110,55
301,Node 302,-379,31
302,Node 303,400,-244
303,Node 304,339,167
304,Node 305,-271,186
305,Node 306,43,228
306,Node 307,168,58
307,Node 308,-232,136
308,Node 309,-52,-117
309,Node 310,-14,91
310,Node 311,16,-153
311,Node 312,-142,271
312,Node 313,-415,-8
313,Node 314,-29,225
314,Node 315,89,-114
315,Node 316,515,279
316,Node 317,-525,-217
317,Node 318,360,261
318,Node 319,264,142
319,Node 320,491,53
320,Node 321,-225,133
321,Node 322,-380,240
322,Node 323,78,-51
323,Node 324,-388,-22
324,Node 325,455,220
325,Node 326,-275,-11
326,Node 327,139,-63
327,Node 328,-353,-2
328,Node 329,-473,-138
329,Node 330,-92,185
330,Node 331,122,229
331,Node 332,-25,283
332,Node 333,-59,-70
333,Node 334,237,228
334,Node 335,-355,40
335,Node 336,379,132
336,Node 337,-215,-68
337,Node 338,240,-56
338,Node 339,163,23
339,Node 340,-550,-132
340,Node 341,418,105
341,Node 342,120,22
342,Node 343,-273,-25
343,Node 344,-508,-250
344,Node 345,281,181
345,Node 346,503,-215
346,Node 347,-8,239
347,Node 348,513,219
348,Node 349,34,-147
349,Node 350,412,-148
350,Node 351,321,-238
351,Node 352,310,-289
352,Node 353,-436,287
353,Node 354,494,182
354,Node 355,-549,-141
355,Node 356,-478,-178
356,Node 357,263,-261
357,Node 358,137,-1
358,Node 359,339,211
359,Node 360,65,-56
360,Node 361,-348,-90
361,Node 362,128,-216
362,Node 363,318,298
363,Node 364,-393,-2
364,Node 365,130,-297
365,Node 366,318,65
366,Node 367,-184,-54
367,Node 368,316,-3
368,Node 369,109,115
369,Node 370,398,-187
370,Node 371,6,-109
371,Node 372,521,49
372,Node 373,352,188
373,Node 374,538,-67
374,Node 375,-428,179
375,Node 376,-373,254
376,Node 377,-478,59
377,Node 378,99,-168
378,Node 379,-379,251
379,Node 380,-90,30
380,Node 381,131,-105
381,Node 382,-284,29
382,Node 383,197,64
383,Node 384,-477,-247
384,Node 385,187,-5
385,Node 386,333,-15
386,Node 387,507,160
387,Node 388,179,-184
388,Node 389,-218,245
389,Node 390,402,-81
390,Node 391,-387,295
391,Node 392,-166,-288
392,Node 393,-247,215
393,Node 394,-312,-99
394,Node 395,317,250
395,Node 396,519,-131
396,Node 397,-94,-94
397,Node 398,381,107
398,Node 399,130,-183
399,Node 400,-168,35
400,Node 401,94,-117
401,Node 402,-545,164
402,Node 403,-193,-96
403,Node 404,311,-216
404,Node 405,-312,231
405,Node 406,433,2
406,Node 407,41,-231
407,Node 408,110,47
408,Node 409,71,-94
409,Node 410,-416,135
410,Node 411,388,245
411,Node 412,-323,11
412,Node 413,193,-195
413,Node 414,-516,188
414,Node 415,-531,148
415,Node 416,329,-178
416,Node 417,-31,-207
417,Node 418,473,-96
418,Node 419,-544,158
419,Node 420,38,118
420,Node 421,-66,48
421,Node 422,-440,192
422,Node 423,175,117
423,Node 424,-455,205
424,Node 425,-90,-294
425,Node 426,-92,88
426,Node 427,-386,-272
427,Node 428,-68,31
428,Node 429,-321,-289
429,Node 430,-396,1
430,Node 431,-361,-100
431,Node 432,341,-53
432,Node 433,-208,74
433,Node 434,415,-89
434,Node 435,-197,152
435,Node 436,441,236
436,Node 437,26,-175
437,Node 438,339,230
438,Node 439,365,-227
439,Node 440,-339,106
440,Node 441,-151,-92
441,Node 442,-201,65
442,Node 443,158,91
443,Node 444,38,-42
444,Node 445,-50,-192
445,Node 446,347,-107
446,Node 447,-461,297
447,Node 448,91,250
448,Node 449,540,98
449,Node 450,238,7
450,Node 451,62,99
451,Node 452,518,28
452,Node 453,398,162
453,Node 454,-317,-153
454,Node 455,-387,-96
455,Node 456,-529,180
456,Node 457,385,-48
457,Node 458,514,269
458,Node 459,194,191
459,Node 460,-179,133
460,Node 461,178,-61
461,Node 462,6,-181
462,Node 463,356,161
463,Node 464,-374,-25
464,Node 465,419,219
465,Node 466,-353,234
466,Node 467,68,-290
467,Node 468,-156,-110
468,Node 469,-13,85
469,Node 470,-66,-127
470,Node 471,60,288
471,Node 472,-229,-211
472,Node 473,517,20
473,Node 474,388,-158
474,Node 475,235,270
475,Node 476,-526,-136
476,Node 477,-342,13
477,Node 478,-92,-150
478,Node 479,-326,209
479,Node 480,-220,27
480,Node 481,370,-90
481,Node 482,-300,113
482,Node 483,287,-128
483,Node 484,-83,-133
484,Node 485,-52,-43
485,Node 486,-58,289
486,Node 487,39,172
487,Node 488,-411,-39
488,Node 489,-417,-161
489,Node 490,241,-238
490,Node 491,322,-281
491,Node 492,233,277
492,Node 493,-451,164
493,Node 494,68,252
494,Node 495,-542,99
495,Node 496,-440,-88
496,Node 497,-108,-26
497,Node 498,-405,82
498,Node 499,119,-204
499,Node 500,6,-246
500,Node 501,27,-256
501,Node 502,-236,95
502,Node 503,-299,225
503,Node 504,131,1
504,Node 505,391,217
505,Node 506,-47,-24
506,Node 507,300,128
507,Node 508,-65,-220
508,Node 509,-58,219
509,Node 510,-179,-34
510,Node 511,-400,-7
511,Node 512,464,-78
512,Node 513,123,-27
513,Node 514,529,189
514,Node 515,-105,-47
515,Node 516,513,236
516,Node 517,-24,13
517,Node 518,275,131
518,Node 519,194,227
519,Node 520,277,-66
520,Node 521,335,-263
521,Node 522,223,126
522,Node 523,-130,205
523,Node 524,-282,41
524,Node 525,501,88
525,Node 526,199,91
526,Node 527,-305,93
527,Node 528,-441,286
528,Node 529,537,-38
529,Node 530,-63,-161
530,Node 531,-57,191
531,Node 532,-31,-48
532,Node 533,-161,69
533,Node 534,523,-60
534,Node 535,328,-256
535,Node 536,390,206
536,Node 537,470,-166
537,Node 538,49,-1
538,Node 539,137,-273
539,Node 540,513,31
540,Node 541,-440,10
541,Node 542,79,219
542,Node 543,424,103
543,Node 544,189,207
544,Node 545,-419,-121
545,Node 546,-336,244
546,Node 547,182,191
547,Node 548,379,220
548,Node 549,-165,-258
549,Node 550,-426,246
550,Node 551,-45,-153
551,Node 552,-168,-89
552,Node 553,-331,157
553,Node 554,399,233
554,Node 555,-319,-185
555,Node 556,-136,220
556,Node 557,416,94
557,Node 558,71,-293
558,Node 559,184,104
559,Node 560,-26,105
560,Node 561,110,122
561,Node 562,-454,-193
562,Node 563,-527,-85
563,Node 564,-318,-126
564,Node 565,437,170
565,Node 566,323,174
566,Node 567,543,33
567,Node 568,230,66
568,Node 569,-76,268
569,Node 570,481,-134
570,Node 571,295,-208
571,Node 572,-168,-152
572,Node 573,-289,82
573,Node 574,537,-134
574,Node 575,296,226
575,Node 576,-311,10
576,Node 577,-529,9
577,Node 578,360,20
578,Node 579,-136,-82
579,Node 580,0,-125
580,Node 581,-149,-213
581,Node 582,-199,-176
582,Node 583,182,-204
583,Node 584,-78,299
584,Node 585,-269,106
585,Node 586,-175,181
586,Node 587,477,13
587,Node 588,-403,123
588,Node 589,-37,-158
589,Node 590,-129,276
590,Node 591,-161,-54
591,Node 592,427,170
592,Node 593,-350,-202
593,Node 594,-420,43
594,Node 595,298,160
595,Node 596,-481,-245
596,Node 597,-122,-127
597,Node 598,176,-205
598,Node 599,85,160
599,Node 600,-461,128
600,Node 601,-113,-50
601,Node 602,-84,243
602,Node 603,-402,63
603,Node 604,-195,287
604,Node 605,-156,-297
605,Node 606,-31,31
606,Node 607,256,126
607,Node 608,86,-167
608,Node 609,-20,2
609,Node 610,155,177
610,Node 611,-371,-117
611,Node 612,-412,-149
612,Node 613,-280,-38
613,Node 614,-99,99
614,Node 615,202,258
615,Node 616,141,102
616,Node 617,127,-158
617,Node 618,277,65
618,Node 619,-249,231
619,Node 620,379,-203
620,Node 621,-98,-237
621,Node 622,494,109
622,Node 623,-27,116
623,Node 624,-234,292
624,Node 625,-83,-211
625,Node 626,-62,222
626,Node 627,-254,276
627,Node 628,78,-75
628,Node 629,4,-99
629,Node 630,-436,-269
630,Node 631,263,198
631,Node 632,-435,-250
632,Node 633,372,21
633,Node 634,284,-244
634,Node 635,334,58
635,Node 636,-392,125
636,Node 637,465,162
637,Node 638,342,184
638,Node 639,422,-142
639,Node 640,-314,-32
640,Node 641,-523,75
641,Node 642,13,168
642,Node 643,-19,292
643,Node 644,-189,8
644,Node 645,372,12
645,Node 646,-266,-114
646,Node 647,8,32
647,Node 648,-122,110
648,Node 649,-251,-29
649,Node 650,-526,-203
650,Node 651,354,82
651,Node 652,-133,22
652,Node 653,96,178
653,Node 654,453,-276
654,Node 655,236,244
655,Node 656,-479,-130
656,Node 657,431,-217
657,Node 658,459,-108
658,Node 659,-84,-100
659,Node 660,-396,-196
660,Node 661,403,-197
661,Node 662,-160,-14
662,Node 663,228,259
663,Node 664,431,-229
664,Node 665,-461,-83
665,Node 666,22,-141
666,Node 667,104,-245
667,Node 668,-72,90
668,Node 669,435,-57
669,Node 670,-473,-273
670,Node 671,64,67
671,Node 672,-75,-167
672,Node 673,-184,-126
673,Node 674,307,-254
674,Node 675,-51,-220
675,Node 676,-131,216
676,Node 677,431,124
677,Node 678,-186,-2
678,Node 679,-216,-219
679,Node 680,-203,-130
680,Node 681,-311,-45
681,Node 682,70,193
682,Node 683,-217,277
683,Node 684,344,115
684,Node 685,368,39
685,Node 686,-177,54
686,Node 687,-205,183
687,Node 688,507,-89
688,Node 689,-513,251
689,Node 690,-76,-160
690,Node 691,-269,-95
691,Node 692,-347,191
692,Node 693,112,97
693,Node 694,-411,-275
694,Node 695,287,-238
695,Node 696,162,-109
696,Node 697,-382,-216
697,Node 698,379,-230
698,Node 699,365,-231
699,Node 700,92,152
700,Node 701,182,165
701,Node 702,-428,-111
702,Node 703,-248,197
703,Node 704,-441,229
704,Node 705,-125,115
705,Node 706,-128,178
706,Node 707,-344,-266
707,Node 708,-51,-281
708,Node 709,-18,231
709,Node 710,326,90
710,Node 711,502,-38
711,Node 712,201,-247
712,Node 713,-436,142
713,Node 714,39,104
714,Node 715,-404,138
715,Node 716,-263,24
716,Node 717,262,38
717,Node 718,400,-57
718,Node 719,-24,-118
719,Node 720,-141,-51
720,Node 721,202,283
721,Node 722,-37,-224
722,Node 723,-537,-111
723,Node 724,243,99
724,Node 725,94,282
725,Node 726,70,156
726,Node 727,263,159
727,Node 728,-227,-254
728,Node 729,117,-195
729,Node 730,-542,95
730,Node 731,78,237
731,Node 732,199,99
732,Node 733,91,-230
733,Node 734,472,-270
734,Node 735,-211,-227
735,Node 736,530,-160
736,Node 737,353,-77
737,Node 738,-331,-283
738,Node 739,-467,-87
739,Node 740,-174,272
740,Node 741,408,265
741,Node 742,-157,-20
742,Node 743,-438,276
743,Node 744,61,200
744,Node 745,149,76
745,Node 746,214,186
746,Node 747,74,-297
747,Node 748,200,-1
748,Node 749,-410,-207
749,Node 750,104,-240
750,Node 751,-93,290
751,Node 752,-359,145
752,Node 753,52,-51
753,Node 754,-444,-204
754,Node 755,165,-95
755,Node 756,141,130
756,Node 757,539,-285
757,Node 758,145,-87
758,Node 759,485,18
759,Node 760,101,-50
760,Node 761,358,-203
761,Node 762,-127,-58
762,Node 763,362,-105
763,Node 764,146,39
764,Node 765,499,-77
765,Node 766,-281,187
766,Node 767,356,-5
767,Node 768,26,-246
768,Node 769,-271,222
769,Node 770,413,169
770,Node 771,507,145
771,Node 772,167,-165
772,Node 773,-493,280
773,Node 774,250,248
774,Node 775,-343,-226
775,Node 776,256,264
776,Node 777,110,135
777,Node 778,-346,-231
778,Node 779,416,265
779,Node 780,-122,234
780,Node 781,19,7
781,Node 782,-146,-14
782,Node 783,522,129
783,Node 784,-187,59
784,Node 785,-310,-117
785,Node 786,-8,200
786,Node 787,187,53
787,Node 788,-78,241
788,Node 789,-160,-280
789,Node 790,-325,168
790,Node 791,339,-112
791,Node 792,10,15
792,Node 793,55,255
793,Node 794,66,234
794,Node 795,-139,209
795,Node 796,126,92
796,Node 797,225,-277
797,Node 798,-389,173
798,Node 799,-429,-198
799,Node 800,-238,-294
800,Node 801,196,132
801,Node 802,-386,180
802,Node 803,-494,235
803,Node 804,-414,218
804,Node 805,358,257
805,Node 806,306,-157
806,Node 807,-310,145
807,Node 808,-435,254
808,Node 809,-160,159
809,Node 810,271,-298
810,Node 811,297,-170
811,Node 812,475,224
812,Node 813,-288,247
813,Node 814,-149,-194
814,Node 815,-519,-217
815,Node 816,346,84
816,Node 817,340,-122
817,Node 818,-3,104
818,Node 819,349,231
819,Node 820,177,42
820,Node 821,-256,-93
821,Node 822,-143,34
822,Node 823,457,-161
823,Node 824,-401,300
824,Node 825,-530,-59
825,Node 826,522,-286
826,Node 827,-25,53
827,Node 828,154,-89
828,Node 829,236,-220
829,Node 830,411,-112
830,Node 831,0,6
831,Node 832,325,113
832,Node 833,548,26
833,Node 834,-23,246
834,Node 835,108,-75
835,Node 836,153,-193
836,Node 837,-230,132
837,Node 838,-20,-70
838,Node 839,313,-37
839,Node 840,-451,92
840,Node 841,-416,-97
841,Node 842,391,100
842,Node 843,-419,-211
843,Node 844,-95,-74
844,Node 845,178,-14
845,Node 846,424,184
846,Node 847,-121,-191
847,Node 848,-214,288
848,Node 849,5,-208
849,Node 850,383,231
850,Node 851,180,-238
851,Node 852,-261,91
852,Node 853,-299,-13
853,Node 854,251,173
854,Node 855,204,5
855,Node 856,374,0
856,Node 857,-522,-32
857,Node 858,-73,144
858,Node 859,-203,139
859,Node 860,-472,-89
860,Node 861,10,-61
861,Node 862,37,22
862,Node 863,-465,-45
863,Node 864,-398,176
864,Node 865,403,-46
865,Node 866,-550,-4
866,Node 867,-216,119
867,Node 868,-9,-218
868,Node 869,-183,65
869,Node 870,-119,175
870,Node 871,218,63
871,Node 872,220,-59
872,Node 873,-465,-157
873,Node 874,-420,-71
874,Node 875,85,104
875,Node 876,-133,287
876,Node 877,-332,-63
877,Node 878,-517,150
878,Node 879,-100,28
879,Node 880,-154,220
880,Node 881,-248,-153
881,Node 882,450,52
882,Node 883,-297,110
883,Node 884,124,167
884,Node 885,387,168
885,Node 886,-304,-74
886,Node 887,94,-3
887,Node 888,-434,-123
888,Node 889,73,22
889,Node 890,-185,218
890,Node 891,445,202
891,Node 892,-143,-1
892,Node 893,355,103
893,Node 894,-372,97
894,Node 895,-293,-96
895,Node 896,48,300
896,Node 897,-525,23
897,Node 898,167,83
898,Node 899,355,260
899,Node 900,-202,299
900,Node 901,-485,-263
901,Node 902,214,215
902,Node 903,-60,148
903,Node 904,2,41
904,Node 905,-108,-180
905,Node 906,-3,19
906,Node 907,-21,-233
907,Node 908,-498,-158
908,Node 909,-47,-161
909,Node 910,-367,-64
910,Node 911,-113,-239
911,Node 912,-524,27
912,Node 913,-204,-295
913,Node 914,-334,68
914,Node 915,355,-56
915,Node 916,-66,14
916,Node 917,-430,-159
917,Node 918,236,209
918,Node 919,-508,-29
919,Node 920,519,-175
920,Node 921,14,-108
921,Node 922,151,135
922,Node 923,268,-141
923,Node 924,-103,180
924,Node 925,-124,224
925,Node 926,-344,195
926,Node 927,159,-201
927,Node 928,516,-166
928,Node 929,51,60
929,Node 930,229,-181
930,Node 931,-423,76
931,Node 932,497,134
932,Node 933,353,230
933,Node 934,-156,-83
934,Node 935,-432,-95
935,Node 936,-115,275
936,Node 937,191,31
937,Node 938,81,41
938,Node 939,24,29
939,Node 940,248,-53
940,Node 941,-137,25
941,Node 942,-106,95
942,Node 943,43,105
943,Node 944,-399,-227
944,Node 945,132,-44
945,Node 946,549,294
946,Node 947,78,-24
947,Node 948,236,101
948,Node 949,353,-266
949,Node 950,332,124
950,Node 951,90,174
951,Node 952,-231,-63
952,Node 953,38,115
953,Node 954,82,70
954,Node 955,-260,233
955,Node 956,539,-94
956,Node 957,-500,-192
957,Node 958,194,256
958,Node 959,-488,258
959,Node 960,331,132
960,Node 961,-258,139
961,Node 962,-256,82
962,Node 963,326,-167
963,Node 964,79,-199
964,Node 965,155,-261
965,Node 966,-454,45
966,Node 967,283,-85
967,Node 968,431,-181
968,Node 969,537,98
969,Node 970,127,-126
970,Node 971,-146,95
971,Node 972,-311,-271
972,Node 973,-384,-177
973,Node 974,92,-12
974,Node 975,20,217
975,Node 976,227,208
976,Node 977,-264,194
977,Node 978,-442,152
978,Node 979,475,-243
979,Node 980,523,110
980,Node 981,-97,163
981,Node 982,-275,-217
982,Node 983,-124,-206
983,Node 984,-56,-295
984,Node 985,403,-94
985,Node 986,-308,-152
986,Node 987,-418,11
987,Node 988,-114,-43
988,Node 989,-276,-276
989,Node 990,42,-257
990,Node 991,-148,-121
991,Node 992,-502,21
992,Node 993,-406,-194
993,Node 994,-471,-59
994,Node 995,-75,272
995,Node 996,325,-190
996,Node 997,-344,173
997,Node 998,151,267
998,Node 999,246,-250
999,Node 1000,102,264
1000,Node 1001,-181,55
1001,Node 1002,-37,-275
1002,Node 1003,406,-194
1003,Node 1004,6,-55
1004,Node 1005,195,94
1005,Node 1006,-386,149
1006,Node 1007,-393,296
1007,Node 1008,226,249
1008,Node 1009,103,151
1009,Node 1010,-97,225
1010,Node 1011,-5,-263
1011,Node 1012,166,-160
1012,Node 1013,204,287
1013,Node 1014,382,225
1014,Node 1015,294,178
1015,Node 1016,-62,257
1016,Node 1017,267,54
1017,Node 1018,85,199
1018,Node 1019,-183,116
1019,Node 1020,223,-80
1020,Node 1021,521,-137
1021,Node 1022,-194,-248
1022,Node 1023,333,-167
1023,Node 1024,389,-78
1024,Node 1025,-430,295
1025,Node 1026,188,154
1026,Node 1027,-519,4
1027,Node 1028,-15,193
1028,Node 1029,-516,-267
1029,Node 1030,252,237
1030,Node 1031,-354,-195
1031,Node 1032,-295,-119
1032,Node 1033,-502,157
1033,Node 1034,244,-153
1034,Node 1035,40,192
1035,Node 1036,-436,-300
1036,Node 1037,-10,-78
1037,Node 1038,319,-81
1038,Node 1039,74,99
1039,Node 1040,-351,14
1040,Node 1041,-160,130
1041,Node 1042,482,-170
1042,Node 1043,314,65
1043,Node 1044,-48,-42
1044,Node 1045,-255,118
1045,Node 1046,-237,-255
1046,Node 1047,176,-164
1047,Node 1048,283,213
1048,Node 1049,-257,31
1049,Node 1050,-461,110
1050,Node 1051,-362,148
1051,Node 1052,212,224
1052,Node 1053,-253,-101
1053,Node 1054,498,-213
1054,Node 1055,-25,47
1055,Node 1056,-182,-198
1056,Node 1057,185,290
1057,Node 1058,-207,108
1058,Node 1059,-413,-182
1059,Node 1060,-400,-19
1060,Node 1061,-467,68
1061,Node 1062,-313,-237
1062,Node 1063,354,-100
1063,Node 1064,-201,242
1064,Node 1065,-331,-54
1065,Node 1066,-227,-157
1066,Node 1067,548,-152
1067,Node 1068,-151,-1
1068,Node 1069,23,-70
1069,Node 1070,342,8
1070,Node 1071,-122,-243
1071,Node 1072,-158,263
1072,Node 1073,213,150
1073,Node 1074,-18,14
1074,Node 1075,65,-133
1075,Node 1076,-191,62
1076,Node 1077,278,234
1077,Node 1078,528,-187
1078,Node 1079,85,196
1079,Node 1080,349,254
1080,Node 1081,-236,-133
1081,Node 1082,110,22
1082,Node 1083,-235,-106
1083,Node 1084,279,-57
1084,Node 1085,302,290
1085,Node 1086,203,-267
1086,Node 1087,275,-170
1087,Node 1088,10,-9
1088,Node 1089,511,-174
1089,Node 1090,491,159
1090,Node 1091,-148,-36
1091,Node 1092,-374,-66
1092,Node 1093,191,-245
1093,Node 1094,72,-224
1094,Node 1095,-389,50
1095,Node 1096,-467,169
1096,Node 1097,-125,-26
1097,Node 1098,532,149
1098,Node 1099,364,134
1099,Node 1100,144,-132
